Cluster,Persona,Churn,Tenure,SatisfactionScore,OrderCount,CouponUsed,CashbackAmount,DaySinceLastOrder,HourSpendOnApp,Complain,OrderAmountHikeFromlastYear
3,Discount Seekers,0,18.0,2,12.0,12.0,188.65,8.0,2.0,0,12.0
2,Loyal Customers,0,27.0,5,1.0,1.0,159.4,5.0,2.0,0,14.0
1,Premium Customers,0,9.0,4,3.0,0.0,159.14,7.0,3.0,0,16.0
1,Premium Customers,0,6.0,4,1.0,0.0,126.22,1.0,2.0,0,21.0
0,High Churn Risk,0,10.0,2,1.0,0.0,221.85000000000002,3.0,2.0,1,14.0
2,Loyal Customers,0,11.0,3,5.0,1.0,206.08999999999997,13.0,3.0,0,12.0
1,Premium Customers,0,4.0,3,1.0,1.0,143.45,4.0,2.0,0,12.0
1,Premium Customers,0,9.0,2,1.0,0.0,121.77000000000001,0.0,3.0,0,17.0
1,Premium Customers,0,10.0,2,5.0,1.0,0.0,8.0,2.0,0,17.0
1,Premium Customers,0,2.0,2,4.0,4.0,179.18,1.0,2.0,0,14.0
1,Premium Customers,0,8.0,3,1.0,1.0,187.89,8.0,3.0,0,14.0
0,High Churn Risk,1,0.0,2,1.0,0.0,123.88999999999999,1.0,2.0,1,13.0
1,Premium Customers,0,25.0,2,2.0,0.0,132.12,2.0,2.0,0,15.0
3,Discount Seekers,0,15.0,2,11.0,0.0,292.32,15.0,2.0,0,15.0
1,Premium Customers,0,9.0,3,2.0,2.0,122.66999999999999,2.0,2.0,0,17.0
2,Loyal Customers,0,23.0,2,1.0,1.0,295.17,6.0,3.0,0,15.0
0,High Churn Risk,1,0.0,2,1.0,0.0,124.36000000000001,4.0,2.0,1,13.0
2,Loyal Customers,0,16.0,2,2.0,0.0,260.64,9.0,3.0,1,22.0
1,Premium Customers,1,0.0,5,1.0,1.0,127.07,7.0,3.0,0,20.0
3,Discount Seekers,0,25.0,3,15.0,1.0,290.68,12.0,3.0,1,18.0
1,Premium Customers,0,5.0,4,1.0,1.0,139.31,2.0,2.0,0,11.0
0,High Churn Risk,1,0.0,3,1.0,1.0,137.3,2.0,3.0,1,14.0
1,Premium Customers,0,9.0,3,1.0,0.0,122.32,2.0,3.0,0,14.0
1,Premium Customers,0,5.0,2,2.0,1.0,144.65,2.0,3.0,0,18.0
1,Premium Customers,0,14.0,5,1.0,1.0,130.72,0.0,3.0,0,16.0
1,Premium Customers,0,13.0,2,4.0,2.0,133.19,7.0,3.0,0,17.0
2,Loyal Customers,0,18.0,2,1.0,1.0,292.02,7.0,3.0,0,15.0
1,Premium Customers,0,4.0,3,2.0,1.0,236.75,2.0,3.0,0,12.0
1,Premium Customers,0,6.0,2,1.0,0.0,129.11,2.0,3.0,0,13.0
1,Premium Customers,0,7.0,5,5.0,0.0,159.57,9.0,2.0,0,13.0
1,Premium Customers,0,10.0,5,1.0,1.0,139.2,2.0,2.0,0,14.0
1,Premium Customers,0,18.0,3,1.0,0.0,164.34,2.0,3.0,0,17.0
1,Premium Customers,1,0.0,3,1.0,1.0,200.48,0.0,3.0,0,11.0
3,Discount Seekers,0,12.0,3,11.0,10.0,209.38,3.0,3.0,0,25.0
1,Premium Customers,0,2.0,2,1.0,0.0,123.4,5.0,2.0,0,19.0
0,High Churn Risk,0,15.0,5,1.0,0.0,165.45,2.0,2.0,1,13.0
1,Premium Customers,0,2.0,2,1.0,1.0,169.31,2.0,2.0,0,14.0
1,Premium Customers,0,0.0,3,1.0,1.0,148.98,2.0,3.0,0,12.0
3,Discount Seekers,0,15.0,5,7.0,4.0,125.93,8.0,2.0,1,11.0
2,Loyal Customers,0,13.0,3,3.0,0.0,294.36,9.0,2.0,0,15.0
1,Premium Customers,0,24.0,2,1.0,1.0,127.22999999999999,0.0,3.0,0,11.0
1,Premium Customers,1,0.0,4,1.0,1.0,134.79,4.0,3.0,0,11.0
1,Premium Customers,0,5.0,4,1.0,0.0,127.94,3.0,3.0,0,20.0
3,Discount Seekers,0,11.0,2,7.0,6.0,152.49,5.0,2.0,0,18.0
1,Premium Customers,0,9.0,5,1.0,0.0,121.75999999999999,4.0,2.0,0,13.0
2,Loyal Customers,0,19.0,4,7.0,1.0,268.72,7.0,3.0,1,12.0
1,Premium Customers,1,0.0,3,1.0,1.0,134.85,0.0,3.0,0,11.0
1,Premium Customers,0,2.0,4,1.0,0.0,166.44,0.0,3.0,0,19.0
1,Premium Customers,0,4.0,2,7.0,1.0,155.82,8.0,3.0,0,21.0
1,Premium Customers,0,0.0,5,1.0,1.0,140.0,5.0,2.0,0,12.0
2,Loyal Customers,0,18.0,2,2.0,0.0,234.95999999999998,10.0,3.0,1,14.0
3,Discount Seekers,0,9.0,2,10.0,4.0,132.1,11.0,2.0,0,11.0
2,Loyal Customers,0,28.0,5,4.0,1.0,290.45,13.0,2.0,1,14.0
3,Discount Seekers,1,10.0,4,9.0,5.0,218.49,3.0,2.0,1,12.0
1,Premium Customers,0,9.0,2,1.0,1.0,120.69999999999999,4.0,3.0,0,23.0
1,Premium Customers,0,10.0,2,1.0,0.0,165.02,1.0,3.0,0,14.0
1,Premium Customers,0,0.0,3,1.0,1.0,132.3,0.0,3.0,0,17.0
0,High Churn Risk,0,10.0,2,2.0,0.0,236.02999999999997,2.0,0.0,1,18.0
3,Discount Seekers,0,2.0,4,6.0,5.0,219.95999999999998,3.0,3.0,0,18.0
0,High Churn Risk,0,11.0,5,7.0,0.0,156.05,7.0,2.0,1,24.0
1,Premium Customers,0,0.0,4,1.0,0.0,163.97,4.0,2.0,0,20.0
2,Loyal Customers,0,23.0,4,1.0,1.0,291.44,6.0,3.0,0,14.0
2,Loyal Customers,0,26.0,3,1.0,1.0,275.84,3.0,2.0,1,16.0
3,Discount Seekers,0,15.0,3,11.0,4.0,149.07,6.0,2.0,0,25.0
1,Premium Customers,0,2.0,2,1.0,0.0,145.54,9.0,2.0,0,18.0
2,Loyal Customers,0,28.0,2,1.0,1.0,154.15,8.0,2.0,1,19.0
0,High Churn Risk,0,0.0,5,3.0,2.0,147.41,3.0,2.0,1,13.0
1,Premium Customers,0,9.0,2,5.0,1.0,121.15,7.0,2.0,0,12.0
0,High Churn Risk,1,7.0,3,1.0,0.0,131.61,0.0,3.0,1,22.0
1,Premium Customers,0,11.0,2,1.0,0.0,157.45,2.0,2.0,0,14.0
0,High Churn Risk,1,0.0,4,1.0,1.0,123.72999999999999,2.0,2.0,1,13.0
1,Premium Customers,0,1.0,2,1.0,0.0,133.1,2.0,3.0,0,21.0
2,Loyal Customers,0,22.0,5,1.0,1.0,286.65,2.0,2.0,1,11.0
3,Discount Seekers,0,9.0,4,7.0,6.0,144.85,7.0,1.0,0,12.0
1,Premium Customers,0,4.0,4,2.0,0.0,127.88999999999999,2.0,3.0,0,11.0
3,Discount Seekers,1,0.0,2,7.0,7.0,158.28,4.0,2.0,1,12.0
0,High Churn Risk,0,10.0,2,1.0,0.0,123.25999999999999,2.0,2.0,1,12.0
2,Loyal Customers,0,15.0,4,2.0,2.0,235.25,8.0,3.0,0,14.0
1,Premium Customers,1,9.0,3,1.0,0.0,114.19999999999999,0.0,2.0,0,13.0
3,Discount Seekers,0,8.0,4,6.0,3.0,180.2,9.0,3.0,0,15.0
1,Premium Customers,0,9.0,2,1.0,0.0,136.88,0.0,2.0,0,18.0
1,Premium Customers,0,24.0,4,1.0,0.0,154.82,2.0,2.0,0,18.0
2,Loyal Customers,0,14.0,4,2.0,1.0,260.15,4.0,2.0,0,19.0
1,Premium Customers,0,0.0,3,1.0,1.0,112.0,0.0,3.0,0,12.0
1,Premium Customers,0,1.0,5,1.0,0.0,156.61,7.0,3.0,0,19.0
3,Discount Seekers,0,4.0,2,7.0,3.0,169.29,7.0,3.0,0,11.0
1,Premium Customers,0,12.0,2,3.0,3.0,196.13,7.0,2.0,0,17.0
1,Premium Customers,0,9.0,4,1.0,0.0,156.74,8.0,2.0,0,15.0
1,Premium Customers,0,5.0,3,4.0,1.0,154.84,8.0,3.0,0,14.0
1,Premium Customers,0,11.0,4,1.0,1.0,220.61,3.0,2.0,0,17.0
0,High Churn Risk,0,30.0,3,1.0,1.0,156.6,2.0,2.0,1,13.0
0,High Churn Risk,0,4.0,2,1.0,0.0,148.21,3.0,2.0,1,12.0
1,Premium Customers,0,4.0,5,1.0,0.0,164.1,0.0,3.0,0,12.0
3,Discount Seekers,0,18.0,5,9.0,5.0,152.1,11.0,3.0,0,18.0
0,High Churn Risk,0,4.0,2,2.0,1.0,126.94999999999999,2.0,3.0,1,18.0
3,Discount Seekers,0,6.0,4,8.0,2.0,218.77999999999997,3.0,3.0,0,11.0
3,Discount Seekers,0,12.0,5,11.0,1.0,270.68,10.0,2.0,1,14.0
1,Premium Customers,0,16.0,2,1.0,0.0,124.55000000000001,7.0,2.0,0,19.0
2,Loyal Customers,0,22.0,3,2.0,1.0,239.64,7.0,2.0,1,12.0
3,Discount Seekers,1,15.0,4,7.0,7.0,149.41,7.0,2.0,0,15.0
0,High Churn Risk,0,0.0,4,1.0,0.0,124.78,2.0,2.0,1,12.0
3,Discount Seekers,0,5.0,4,11.0,6.0,152.28,9.0,3.0,1,11.0
0,High Churn Risk,0,0.0,3,1.0,1.0,144.78,4.0,3.0,1,11.0
1,Premium Customers,0,4.0,2,1.0,0.0,175.47,7.0,3.0,0,12.0
1,Premium Customers,0,5.0,2,1.0,1.0,150.55,7.0,3.0,0,16.0
0,High Churn Risk,1,0.0,2,2.0,2.0,134.64,2.0,2.0,1,13.0
1,Premium Customers,0,3.0,2,1.0,0.0,157.75,9.0,3.0,0,13.0
3,Discount Seekers,0,4.0,3,8.0,3.0,189.43,9.0,2.0,0,24.0
3,Discount Seekers,0,12.0,2,13.0,9.0,292.72,3.0,2.0,0,15.0
0,High Churn Risk,1,2.0,3,1.0,1.0,152.38,0.0,2.0,1,18.0
1,Premium Customers,0,6.0,2,1.0,1.0,146.82,1.0,2.0,0,14.0
2,Loyal Customers,0,20.0,3,1.0,1.0,283.0,1.0,2.0,0,11.0
1,Premium Customers,0,16.0,3,1.0,0.0,152.57,0.0,2.0,0,11.0
0,High Churn Risk,0,0.0,4,1.0,0.0,163.49,4.0,3.0,1,13.0
2,Loyal Customers,0,27.0,3,1.0,1.0,148.69,3.0,2.0,0,12.0
1,Premium Customers,0,16.0,5,1.0,1.0,199.85,0.0,2.0,0,16.0
3,Discount Seekers,0,18.0,2,9.0,7.0,136.97,8.0,3.0,0,14.0
0,High Churn Risk,0,13.0,2,1.0,1.0,174.57,2.0,2.0,1,22.0
0,High Churn Risk,1,9.0,5,1.0,1.0,121.19,7.0,3.0,1,11.0
1,Premium Customers,0,2.0,2,2.0,2.0,139.83,2.0,1.0,0,17.0
1,Premium Customers,0,3.0,3,1.0,0.0,161.18,2.0,1.0,0,13.0
1,Premium Customers,0,0.0,4,1.0,0.0,162.14,7.0,2.0,0,18.0
1,Premium Customers,0,10.0,2,1.0,0.0,163.47,4.0,3.0,0,16.0
0,High Churn Risk,0,11.0,2,2.0,1.0,215.10000000000002,3.0,3.0,1,14.0
0,High Churn Risk,0,4.0,2,4.0,2.0,171.43,10.0,2.0,1,14.0
0,High Churn Risk,0,2.0,4,1.0,0.0,182.68,7.0,2.0,1,14.0
1,Premium Customers,0,8.0,4,1.0,0.0,180.95,13.0,3.0,0,13.0
1,Premium Customers,0,0.0,2,1.0,1.0,129.04,2.0,3.0,0,12.0
0,High Churn Risk,0,14.0,4,1.0,1.0,160.32,2.0,3.0,1,15.0
1,Premium Customers,0,20.0,3,1.0,0.0,129.76,0.0,3.0,0,19.0
2,Loyal Customers,0,15.0,2,2.0,0.0,259.92,0.0,2.0,0,14.0
1,Premium Customers,0,2.0,3,1.0,1.0,146.49,2.0,3.0,0,14.0
0,High Churn Risk,0,15.0,3,1.0,1.0,126.96000000000001,0.0,3.0,1,11.0
1,Premium Customers,0,5.0,4,1.0,0.0,123.69999999999999,7.0,3.0,0,13.0
2,Loyal Customers,0,21.0,3,1.0,0.0,225.04000000000002,3.0,3.0,0,21.0
0,High Churn Risk,0,10.0,5,6.0,2.0,159.74,7.0,2.0,1,13.0
0,High Churn Risk,0,3.0,3,2.0,1.0,147.36,2.0,2.0,1,12.0
1,Premium Customers,0,0.0,3,7.0,2.0,152.96,7.0,2.0,0,17.0
1,Premium Customers,0,15.0,2,1.0,0.0,167.81,0.0,3.0,0,23.0
0,High Churn Risk,1,9.0,4,1.0,1.0,121.74000000000001,2.0,2.0,1,11.0
1,Premium Customers,0,9.0,2,1.0,1.0,166.53,0.0,2.0,0,15.0
1,Premium Customers,0,9.0,2,1.0,0.0,196.99,12.0,2.0,0,11.0
2,Loyal Customers,0,30.0,3,1.0,1.0,167.55,2.0,2.0,0,11.0
0,High Churn Risk,0,9.0,3,1.0,0.0,122.13,7.0,2.0,1,13.0
1,Premium Customers,0,0.0,2,2.0,0.0,126.1,2.0,2.0,0,24.0
0,High Churn Risk,1,0.0,3,1.0,1.0,128.51,0.0,3.0,1,13.0
1,Premium Customers,0,10.0,5,1.0,1.0,134.52,3.0,3.0,0,20.0
1,Premium Customers,0,19.0,3,1.0,0.0,152.58,0.0,1.0,0,14.0
3,Discount Seekers,1,4.0,4,7.0,7.0,193.55,7.0,2.0,0,18.0
2,Loyal Customers,0,23.0,2,1.0,0.0,204.96,3.0,3.0,0,15.0
0,High Churn Risk,1,3.0,3,1.0,1.0,163.8,0.0,3.0,1,12.0
0,High Churn Risk,0,4.0,4,2.0,1.0,126.57,2.0,2.0,1,16.0
1,Premium Customers,1,0.0,4,1.0,0.0,127.16,0.0,3.0,0,15.0
1,Premium Customers,0,9.0,2,1.0,1.0,122.00999999999999,2.0,2.0,0,16.0
1,Premium Customers,0,8.0,4,1.0,1.0,165.4,0.0,3.0,0,19.0
1,Premium Customers,0,0.0,4,1.0,0.0,138.16,4.0,2.0,0,11.0
1,Premium Customers,0,1.0,2,1.0,1.0,152.53,7.0,3.0,0,16.0
1,Premium Customers,0,22.0,3,1.0,1.0,145.0,0.0,2.0,0,24.0
2,Loyal Customers,0,24.0,2,1.0,0.0,149.36,7.0,2.0,0,11.0
1,Premium Customers,0,9.0,3,2.0,1.0,125.43,2.0,3.0,0,13.0
0,High Churn Risk,1,0.0,2,1.0,1.0,153.04,4.0,3.0,1,13.0
2,Loyal Customers,0,28.0,2,1.0,1.0,266.59,2.0,3.0,1,13.0
0,High Churn Risk,0,0.0,3,1.0,0.0,142.6,3.0,3.0,1,12.0
1,Premium Customers,0,3.0,4,1.0,1.0,124.75999999999999,0.0,3.0,0,18.0
1,Premium Customers,1,0.0,5,1.0,0.0,131.02,4.0,3.0,0,22.0
1,Premium Customers,0,9.0,4,1.0,1.0,122.44,2.0,2.0,0,13.0
3,Discount Seekers,0,9.0,3,9.0,9.0,175.96,0.0,3.0,0,13.0
0,High Churn Risk,1,9.0,2,1.0,1.0,122.85,0.0,2.0,1,23.0
3,Discount Seekers,0,10.0,5,12.0,3.0,130.34,17.0,3.0,0,12.0
1,Premium Customers,0,13.0,4,1.0,0.0,157.15,3.0,2.0,0,12.0
1,Premium Customers,0,15.0,5,1.0,1.0,125.75999999999999,2.0,3.0,0,16.0
0,High Churn Risk,0,10.0,4,1.0,0.0,141.97,1.0,2.0,1,12.0
2,Loyal Customers,0,16.0,4,2.0,0.0,243.36,9.0,2.0,0,11.0
1,Premium Customers,0,13.0,3,1.0,1.0,134.48,0.0,3.0,0,22.0
2,Loyal Customers,0,27.0,5,1.0,1.0,294.06,2.0,2.0,0,15.0
1,Premium Customers,0,7.0,3,1.0,1.0,165.38,2.0,3.0,0,15.0
1,Premium Customers,0,4.0,5,3.0,3.0,143.06,12.0,2.0,0,12.0
1,Premium Customers,0,9.0,2,1.0,0.0,122.58000000000001,2.0,3.0,0,20.0
0,High Churn Risk,0,16.0,3,1.0,0.0,145.22,2.0,3.0,1,14.0
0,High Churn Risk,0,0.0,2,1.0,0.0,144.87,3.0,2.0,1,11.0
3,Discount Seekers,0,10.0,3,10.0,3.0,144.49,7.0,3.0,1,15.0
1,Premium Customers,0,9.0,5,3.0,0.0,122.18,2.0,3.0,0,12.0
2,Loyal Customers,0,12.0,3,1.0,0.0,291.97,6.0,2.0,1,14.0
2,Loyal Customers,0,29.0,5,2.0,2.0,232.12,7.0,2.0,0,11.0
1,Premium Customers,0,3.0,3,4.0,3.0,165.77,4.0,2.0,0,11.0
1,Premium Customers,0,14.0,5,1.0,1.0,183.92,7.0,2.0,0,16.0
1,Premium Customers,0,1.0,5,1.0,0.0,145.58,8.0,3.0,0,12.0
1,Premium Customers,1,0.0,5,1.0,1.0,140.31,2.0,3.0,0,13.0
0,High Churn Risk,0,25.0,3,1.0,0.0,179.69,4.0,2.0,1,14.0
1,Premium Customers,0,18.0,2,1.0,1.0,126.53999999999999,2.0,3.0,0,21.0
2,Loyal Customers,0,25.0,2,1.0,1.0,265.55,4.0,1.0,0,13.0
1,Premium Customers,0,15.0,3,1.0,1.0,145.56,2.0,3.0,0,11.0
1,Premium Customers,0,3.0,2,1.0,0.0,160.91,2.0,2.0,0,20.0
2,Loyal Customers,0,30.0,5,11.0,0.0,295.66,10.0,2.0,0,15.0
1,Premium Customers,0,19.0,3,1.0,0.0,148.1,8.0,2.0,0,14.0
1,Premium Customers,0,15.0,2,1.0,0.0,145.23,4.0,2.0,0,11.0
0,High Churn Risk,1,0.0,4,1.0,1.0,132.02,4.0,3.0,1,16.0
1,Premium Customers,1,0.0,3,1.0,1.0,123.50999999999999,0.0,2.0,0,16.0
0,High Churn Risk,0,9.0,2,1.0,1.0,117.02000000000001,0.0,2.0,1,23.0
2,Loyal Customers,0,13.0,3,1.0,1.0,280.41,12.0,3.0,0,14.0
1,Premium Customers,0,0.0,2,1.0,1.0,128.86,2.0,3.0,0,22.0
1,Premium Customers,0,9.0,2,1.0,0.0,120.97,4.0,2.0,0,15.0
1,Premium Customers,0,2.0,3,1.0,1.0,219.35000000000002,3.0,3.0,0,18.0
1,Premium Customers,1,0.0,4,1.0,0.0,125.46000000000001,1.0,3.0,0,16.0
1,Premium Customers,1,0.0,2,1.0,1.0,125.63999999999999,0.0,2.0,0,12.0
3,Discount Seekers,0,3.0,5,7.0,2.0,184.12,8.0,3.0,0,11.0
2,Loyal Customers,0,30.0,2,2.0,0.0,241.18,0.0,2.0,0,12.0
3,Discount Seekers,0,23.0,3,15.0,1.0,270.46,7.0,2.0,0,15.0
3,Discount Seekers,0,3.0,2,6.0,5.0,125.63999999999999,7.0,2.0,0,14.0
3,Discount Seekers,0,30.0,5,13.0,13.0,202.66,11.0,3.0,0,19.0
1,Premium Customers,0,20.0,2,1.0,0.0,150.7,4.0,3.0,0,13.0
2,Loyal Customers,0,19.0,3,1.0,1.0,278.61,1.0,2.0,0,13.0
1,Premium Customers,0,8.0,3,4.0,2.0,142.3,3.0,2.0,0,15.0
1,Premium Customers,0,27.0,3,1.0,1.0,137.8,0.0,2.0,0,11.0
3,Discount Seekers,0,7.0,3,5.0,5.0,127.68,7.0,3.0,0,12.0
0,High Churn Risk,0,19.0,2,1.0,1.0,190.71,2.0,3.0,1,19.0
1,Premium Customers,0,4.0,4,1.0,1.0,206.48000000000002,8.0,2.0,0,25.0
0,High Churn Risk,1,0.0,3,2.0,0.0,236.10000000000002,7.0,2.0,1,12.0
1,Premium Customers,1,0.0,2,1.0,0.0,134.08,3.0,2.0,0,13.0
1,Premium Customers,0,3.0,4,1.0,1.0,129.83,2.0,3.0,0,14.0
